"forest","month","year","tempdev","precipdev"
9090.00,"Jan",1998.00,8.60,-0.27
9090.00,"Feb",1998.00,15.90,1.22
9090.00,"Mar",1998.00,0.90,0.07
9090.00,"Apr",1998.00,3.60,-0.82
9090.00,"May",1998.00,4.10,-0.03
9090.00,"Jun",1998.00,-0.90,0.34
9090.00,"Jan",1999.00,0.00,-0.18
9090.00,"Feb",1999.00,8.10,0.08
9090.00,"Mar",1999.00,2.00,-0.07
9090.00,"Apr",1999.00,1.90,0.36
9090.00,"May",1999.00,1.90,1.10
9090.00,"Jun",1999.00,0.50,-0.11
9099.00,"Jan",1995.00,4.50,-0.46
9099.00,"Feb",1995.00,2.00,-0.67
9099.00,"Mar",1995.00,3.60,1.09
9099.00,"Apr",1995.00,-4.20,0.20
9099.00,"May",1995.00,-1.90,-0.10
9099.00,"Jun",1995.00,3.30,-1.34
9099.00,"Jan",1996.00,-2.40,1.56
9099.00,"Feb",1996.00,-0.60,-0.71
9099.00,"Mar",1996.00,-5.30,0.15
9099.00,"Apr",1996.00,-4.00,-1.79
9099.00,"May",1996.00,-3.50,-1.30
9099.00,"Jun",1996.00,0.20,1.58
9099.00,"Jan",1997.00,-1.40,0.43
9099.00,"Feb",1997.00,2.70,-0.12
9099.00,"Mar",1997.00,-0.70,-0.23
9099.00,"Apr",1997.00,-2.30,-1.46
9099.00,"May",1997.00,-5.70,-0.42
9099.00,"Jun",1997.00,1.80,-0.03
9099.00,"Jan",1998.00,7.70,0.61
9099.00,"Feb",1998.00,13.50,0.87
9099.00,"Mar",1998.00,1.10,1.19
9099.00,"Apr",1998.00,4.30,-0.40
9099.00,"May",1998.00,6.40,0.58
9099.00,"Jun",1998.00,-2.30,3.89
9099.00,"Jan",1999.00,-0.20,0.92
9099.00,"Feb",1999.00,10.10,-0.15
9099.00,"Mar",1999.00,2.80,-0.89
9099.00,"Apr",1999.00,2.60,3.93
9099.00,"May",1999.00,2.10,1.51
9099.00,"Jun",1999.00,3.25,-0.75
9020.00,"Jan",1992.00,9.80,-0.10
9020.00,"Feb",1992.00,10.20,-0.20
9020.00,"Mar",1992.00,3.90,-0.20
9020.00,"Apr",1992.00,-2.10,0.20
9020.00,"May",1992.00,2.80,-1.70
9020.00,"Jun",1992.00,-1.90,-0.70
9020.00,"Jan",1993.00,2.20,0.20
9020.00,"Feb",1993.00,0.10,-0.57
9020.00,"Mar",1993.00,-0.80,-1.11
9020.00,"Apr",1993.00,-3.40,0.27
9020.00,"May",1993.00,-1.20,2.00
9020.00,"Jun",1993.00,-3.30,1.54
9020.00,"Jan",1994.00,-9.50,0.11
9020.00,"Feb",1994.00,-6.40,-0.11
9020.00,"Mar",1994.00,2.70,-0.83
9020.00,"Apr",1994.00,-0.90,1.76
9020.00,"May",1994.00,0.90,-1.56
9020.00,"Jun",1994.00,1.80,-0.81
9020.00,"Jan",1995.00,4.90,-0.60
9020.00,"Feb",1995.00,-1.00,-0.24
9020.00,"Mar",1995.00,2.10,0.44
9020.00,"Apr",1995.00,-6.10,0.16
9020.00,"May",1995.00,-1.60,-0.09
9020.00,"Jun",1995.00,3.80,-1.44
9020.00,"Jan",1996.00,-4.90,1.58
9020.00,"Feb",1996.00,-2.50,0.13
9020.00,"Mar",1996.00,-7.60,-0.04
9020.00,"Apr",1996.00,-5.70,-0.85
9020.00,"May",1996.00,-3.00,-0.37
9020.00,"Jun",1996.00,0.90,1.10
9020.00,"Jan",1997.00,-1.40,1.23
9020.00,"Feb",1997.00,3.00,-0.67
9020.00,"Mar",1997.00,-1.00,-0.23
9020.00,"Apr",1997.00,-2.60,-1.88
9020.00,"May",1997.00,-5.20,-1.35
9020.00,"Jun",1997.00,2.80,-0.59
9020.00,"Jan",1998.00,8.00,0.28
9020.00,"Feb",1998.00,15.70,1.03
9020.00,"Mar",1998.00,1.50,1.55
9020.00,"Apr",1998.00,4.10,-0.83
9020.00,"May",1998.00,5.90,-0.05
9020.00,"Jun",1998.00,-1.30,0.78
9020.00,"Jan",1999.00,-0.20,0.35
9020.00,"Feb",1999.00,8.90,0.31
9020.00,"Mar",1999.00,2.80,-0.99
9020.00,"Apr",1999.00,2.30,0.43
9020.00,"May",1999.00,4.50,1.95
9020.00,"Jun",1999.00,2.10,0.10
9030.00,"Jan",1991.00,-0.90,-0.22
9030.00,"Feb",1991.00,7.00,0.28
9030.00,"Mar",1991.00,4.50,-0.06
9030.00,"Apr",1991.00,4.80,0.84
9030.00,"May",1991.00,4.90,0.80
9030.00,"Jun",1991.00,4.30,-0.24
9030.00,"Jan",1992.00,11.20,-0.28
9030.00,"Feb",1992.00,9.10,0.24
9030.00,"Mar",1992.00,4.30,0.04
9030.00,"Apr",1992.00,-2.90,-0.54
9030.00,"May",1992.00,3.20,-1.44
9030.00,"Jun",1992.00,-2.90,-0.35
9030.00,"Jan",1993.00,1.00,0.08
9030.00,"Feb",1993.00,-0.50,-0.46
9030.00,"Mar",1993.00,0.90,-0.43
9030.00,"Apr",1993.00,-1.40,0.15
9030.00,"May",1993.00,-1.60,0.71
9030.00,"Jun",1993.00,-3.40,0.07
9030.00,"Jan",1994.00,-10.40,-0.08
9030.00,"Feb",1994.00,-6.90,-0.03
9030.00,"Mar",1994.00,4.00,-0.40
9030.00,"Apr",1994.00,-1.10,0.23
9030.00,"May",1994.00,1.00,-1.08
9030.00,"Jun",1994.00,1.20,2.80
9030.00,"Jan",1995.00,4.40,0.03
9030.00,"Feb",1995.00,-3.50,0.12
9030.00,"Mar",1995.00,2.00,0.10
9030.00,"Apr",1995.00,-6.10,-0.83
9030.00,"May",1995.00,-1.30,-0.83
9030.00,"Jun",1995.00,5.50,-3.37
9030.00,"Jan",1996.00,-8.60,0.71
9030.00,"Feb",1996.00,-2.80,0.59
9030.00,"Mar",1996.00,-9.60,-0.48
9030.00,"Apr",1996.00,-7.30,-0.63
9030.00,"May",1996.00,-3.20,-0.66
9030.00,"Jun",1996.00,0.80,-0.68
9030.00,"Jan",1997.00,-2.60,0.65
9030.00,"Feb",1997.00,1.10,-0.34
9030.00,"Mar",1997.00,-3.30,0.01
9030.00,"Apr",1997.00,-3.50,-0.79
9030.00,"May",1997.00,-6.10,-0.77
9030.00,"Jun",1997.00,2.70,0.79
9030.00,"Jan",1998.00,7.60,-0.16
9030.00,"Feb",1998.00,17.30,0.29
9030.00,"Mar",1998.00,1.50,-0.25
9030.00,"Apr",1998.00,4.60,-0.84
9030.00,"May",1998.00,4.90,1.73
9030.00,"Jun",1998.00,-2.10,0.84
9030.00,"Jan",1999.00,0.30,-0.06
9030.00,"Feb",1999.00,9.40,-0.01
9030.00,"Mar",1999.00,4.00,0.44
9030.00,"Apr",1999.00,2.50,0.03
9030.00,"May",1999.00,1.10,3.44
9030.00,"Jun",1999.00,0.40,0.48
9040.00,"Jan",1992.00,10.10,-0.14
9040.00,"Feb",1992.00,10.30,-0.25
9040.00,"Mar",1992.00,4.10,-0.24
9040.00,"Apr",1992.00,-2.40,0.19
9040.00,"May",1992.00,2.70,-1.64
9040.00,"Jun",1992.00,-2.00,-0.65
9040.00,"Jan",1993.00,2.50,0.43
9040.00,"Feb",1993.00,-0.30,-0.44
9040.00,"Mar",1993.00,-0.60,-0.62
9040.00,"Apr",1993.00,-2.00,0.00
9040.00,"May",1993.00,-1.10,1.41
9040.00,"Jun",1993.00,-2.70,1.69
9040.00,"Jan",1994.00,-8.50,0.33
9040.00,"Feb",1994.00,-5.80,0.00
9040.00,"Mar",1994.00,3.50,-0.93
9040.00,"Apr",1994.00,0.00,2.31
9040.00,"May",1994.00,2.40,-1.38
9040.00,"Jun",1994.00,2.50,-0.28
9040.00,"Jan",1995.00,5.00,-0.12
9040.00,"Feb",1995.00,-0.60,-0.12
9040.00,"Mar",1995.00,2.70,0.89
9040.00,"Apr",1995.00,-4.40,0.00
9040.00,"May",1995.00,-1.40,-0.21
9040.00,"Jun",1995.00,4.30,-1.44
9040.00,"Jan",1996.00,-4.30,0.98
9040.00,"Feb",1996.00,-1.20,-0.22
9040.00,"Mar",1996.00,-6.60,-0.49
9040.00,"Apr",1996.00,-4.90,-1.01
9040.00,"May",1996.00,-2.60,-0.22
9040.00,"Jun",1996.00,1.00,-0.26
9040.00,"Jan",1997.00,-1.20,1.09
9040.00,"Feb",1997.00,2.90,-0.54
9040.00,"Mar",1997.00,-0.60,-0.06
9040.00,"Apr",1997.00,-2.10,-1.51
9040.00,"May",1997.00,-4.80,-1.66
9040.00,"Jun",1997.00,3.00,-0.04
9040.00,"Jan",1998.00,8.00,0.43
9040.00,"Feb",1998.00,15.50,0.30
9040.00,"Mar",1998.00,1.70,1.08
9040.00,"Apr",1998.00,5.10,-0.44
9040.00,"May",1998.00,6.40,0.60
9040.00,"Jun",1998.00,-1.40,1.33
9040.00,"Jan",1999.00,1.10,0.50
9040.00,"Feb",1999.00,9.80,-0.35
9040.00,"Mar",1999.00,4.20,-0.04
9040.00,"Apr",1999.00,2.90,0.60
9040.00,"May",1999.00,4.30,2.95
9040.00,"Jun",1999.00,-0.90,0.26
9090.00,"Jan",1991.00,-1.50,-0.36
9090.00,"Feb",1991.00,5.60,-0.06
9090.00,"Mar",1991.00,2.20,-0.02
9090.00,"Apr",1991.00,3.50,0.35
9090.00,"May",1991.00,3.20,0.11
9090.00,"Jun",1991.00,1.90,-0.08
9090.00,"Jan",1992.00,8.80,-0.40
9090.00,"Feb",1992.00,7.30,0.16
9090.00,"Mar",1992.00,2.40,-0.76
9090.00,"Apr",1992.00,-3.30,0.11
9090.00,"May",1992.00,2.30,0.02
9090.00,"Jun",1992.00,-3.30,-0.53
9090.00,"Jan",1993.00,2.60,0.03
9090.00,"Feb",1993.00,0.70,-0.51
9090.00,"Mar",1993.00,1.00,-0.99
9090.00,"Apr",1993.00,-2.20,0.23
9090.00,"May",1993.00,-1.70,0.38
9090.00,"Jun",1993.00,-2.80,-0.41
9090.00,"Jan",1994.00,-10.20,-0.08
9090.00,"Feb",1994.00,-6.20,-0.29
9090.00,"Mar",1994.00,2.50,-0.39
9090.00,"Apr",1994.00,-0.90,1.46
9090.00,"May",1994.00,0.50,-0.38
9090.00,"Jun",1994.00,1.40,2.00
9090.00,"Jan",1995.00,6.20,-0.12
9090.00,"Feb",1995.00,-2.30,0.11
9090.00,"Mar",1995.00,1.80,-0.45
9090.00,"Apr",1995.00,-5.40,-0.56
9090.00,"May",1995.00,-0.80,-0.44
9090.00,"Jun",1995.00,4.50,-3.23
9090.00,"Jan",1996.00,-7.10,0.86
9090.00,"Feb",1996.00,-3.60,0.42
9090.00,"Mar",1996.00,-7.50,-0.79
9090.00,"Apr",1996.00,-6.00,-0.45
9090.00,"May",1996.00,-4.60,-0.96
9090.00,"Jun",1996.00,0.10,0.78
9090.00,"Jan",1997.00,-0.80,0.72
9090.00,"Feb",1997.00,1.30,-0.44
9090.00,"Mar",1997.00,-2.80,0.20
9090.00,"Apr",1997.00,-3.40,-1.04
9090.00,"May",1997.00,-6.40,-0.89
9090.00,"Jun",1997.00,2.40,0.68
